calib_level,common_name,dataRights,dataURI,dataproduct_type,description,filters,inst_family,obsID,obs_collection,obs_id,parent_obsid,productDocumentationURL,productFilename,productGroupDescription,productSubGroupDescription,productType,project,proposal_id,prvversion,size,type
2,LBQS-1338-0038,PUBLIC,mast:HST/product/le2j17i2q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G140L,COS,26260507,HST,le2j17i2q,26260511,,le2j17i2q_x1d.fits,,X1D,SCIENCE,CALCOS,15890,3.6.1,1719360,S
2,LBQS-1338-0038,PUBLIC,mast:HST/product/le2j17hvq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G140L,COS,26260508,HST,le2j17hvq,26260511,,le2j17hvq_x1d.fits,,X1D,SCIENCE,CALCOS,15890,3.6.1,1719360,S
2,LBQS-1338-0038,PUBLIC,mast:HST/product/le2j17fvq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G140L,COS,26260509,HST,le2j17fvq,26260511,,le2j17fvq_x1d.fits,,X1D,SCIENCE,CALCOS,15890,3.6.1,1719360,S
2,LBQS-1338-0038,PUBLIC,mast:HST/product/le2j17h2q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G140L,COS,26260510,HST,le2j17h2q,26260511,,le2j17h2q_x1d.fits,,X1D,SCIENCE,CALCOS,15890,3.6.1,1719360,S
3,LBQS-1338-0038,PUBLIC,mast:HST/product/le2j17010_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G140L,COS,26260511,HST,le2j17010,26260511,,le2j17010_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,15890,3.6.1,930240,D
2,2MASS J09224506+3032585,PUBLIC,mast:HST/product/lewr04qpq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G140L,COS,212591609,HST,lewr04qpq,212591613,,lewr04qpq_x1d.fits,,X1D,SCIENCE,CALCOS,17217,3.6.1,1719360,S
2,2MASS J09224506+3032585,PUBLIC,mast:HST/product/lewr04qmq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G140L,COS,212591611,HST,lewr04qmq,212591613,,lewr04qmq_x1d.fits,,X1D,SCIENCE,CALCOS,17217,3.6.1,1719360,S
3,2MASS J09224506+3032585,PUBLIC,mast:HST/product/lewr04010_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G140L,COS,212591613,HST,lewr04010,212591613,,lewr04010_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,17217,3.6.1,930240,D
2,2MASS J09224506+3032585,PUBLIC,mast:HST/product/lewr04qrq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G140L,COS,212591614,HST,lewr04qrq,212591613,,lewr04qrq_x1d.fits,,X1D,SCIENCE,CALCOS,17217,3.6.1,1719360,S
2,2MASS J09224506+3032585,PUBLIC,mast:HST/product/lewr04qkq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G140L,COS,212591617,HST,lewr04qkq,212591613,,lewr04qkq_x1d.fits,,X1D,SCIENCE,CALCOS,17217,3.6.1,1719360,S
