mast_target_name,ra_deg,dec_deg,em_min_aa,em_max_aa,obs_id,t_exptime,instrument,target_classification,proposal_id,calib_level,query_classif
0957+561A,150.3364166667,55.89863888889,,,y2kp0101t,8.362500190735,FOS/RD,EXT-MEDIUM;ABSORPTION LINE SYSTE,5683,1,unfiltered
0957+561A,150.336430381,55.89853310194,,,y2kp0102t,25.28000068665,FOS/RD,EXT-MEDIUM;ABSORPTION LINE SYSTE,5683,1,unfiltered
STAR-221342-593216-FIELD1,333.4271072918,-59.53774999971,,,y2gy040at,1.200000047684,FOS/RD,CALIBRATION;APERTURE LOCATION;,5531,1,unfiltered
STAR-221342-593216-FIELD2,333.4271119346,-59.53802720173,,,y2gy040pt,16.0,FOS/RD,CALIBRATION;APERTURE LOCATION;,5531,1,unfiltered
STAR-221342-593216-FIELD1,333.4271072918,-59.53774999971,,,y2gy040gt,16.0,FOS/RD,CALIBRATION;APERTURE LOCATION;,5531,1,unfiltered
STAR-072553+603116,111.47125,60.52113888889,,,y2gy0503t,24.0,FOS/RD,CALIBRATION;APERTURE LOCATION;,5531,1,unfiltered
TALED,111.4711981418,60.52111740024,,,y2gy0505t,0.1453125029802,FOS/RD,,5531,1,unfiltered
STAR-221342-593216-FIELD2,333.4271166693,-59.53806641204,,,y2gy040ot,55.0,FOS/RD,CALIBRATION;APERTURE LOCATION;,5531,1,unfiltered
STAR-072553+603116-FIELD1,111.4715322357,60.52113888859,,,y2gy0507t,24.0,FOS/RD,CALIBRATION;APERTURE LOCATION;,5531,1,unfiltered
STAR-072553+603116,111.47125,60.52113888889,,,y2gy0506t,24.0,FOS/RD,CALIBRATION;APERTURE LOCATION;,5531,1,unfiltered
STAR-072553+603116-FIELD1,111.4715322357,60.52113888859,,,y2gy050ct,24.0,FOS/RD,CALIBRATION;APERTURE LOCATION;,5531,1,unfiltered
STAR-072553+603116-FIELD2,111.471537014,60.52086168655,,,y2gy050ht,24.0,FOS/RD,CALIBRATION;APERTURE LOCATION;,5531,1,unfiltered
