Name,RA,DEC,z,LogLnu2500,Z_SDSS,L3000_THB21
003643.50+261450.1,9.181252531345363,26.24727361215621,1.61002,30.065890940034976,1.6093743,45.2053825954546
003709.87+265630.6,9.291127345884208,26.94184162441932,1.94315,30.434435457361154,1.9397678,45.469767856912
003721.25+265146.1,9.338564717606571,26.862817136166626,2.83558,30.97969231110624,2.833311,46.05927567082994
003710.00+264337.3,9.291701948651053,26.72704570946703,1.87143,30.495968657583298,1.8706173,45.62083076757211
003046.66+230612.8,7.694421618256057,23.103571412224703,1.6684,30.21070809544956,1.6676701,45.344904277756406
003106.14+231751.0,7.775597855239197,23.297522254344663,2.5711,30.420969759039274,2.5639999999999996,45.36180843139365
003046.68+240333.6,7.694518474609366,24.05934020938801,1.67544,30.657420990792055,1.6773793999999995,45.79275518264908
003005.58+232542.9,7.523270137497036,23.428599833068727,1.94853,30.661143165568348,1.9450490000000002,45.67849367282819
002945.98+234723.0,7.441608477703596,23.78973124454644,1.76437,30.2444982089338,1.7659789000000001,45.19321633562522
002847.25+231615.1,7.196881784317782,23.270867550273906,1.95529,30.416669439448555,1.9513336,45.53779127161412
002903.80+233259.5,7.265847479898298,23.54987302972012,1.76421,30.461335672801688,1.7647446,45.381482470637785
002849.54+234515.9,7.206456278710505,23.75443806270981,1.62475,30.3874183160955,1.6307755,45.07254131493906
002836.09+235144.9,7.150402951811316,23.86248976962911,1.9,30.429049573682803,1.9022362000000002,45.58628524375485
002753.19+230528.6,6.971649673153934,23.0912843561541,1.93515,30.373090463717695,1.9339914,45.354443957323426
002745.75+235424.2,6.940640763084503,23.906723922592665,1.5625,30.10215053236702,1.5715367,44.94131581651349
002742.13+231647.8,6.925573935537045,23.27995113540679,1.84028,30.526582740484123,1.8373116000000005,45.48214454233069
002728.29+232350.6,6.867893609408611,23.397411428138785,1.80586,30.346965976491973,1.8049953,45.23381642791114
002641.53+233700.3,6.673073639380447,23.61676030548925,1.88278,30.56627136359576,1.8788018,45.58585830952367
002708.42+235248.2,6.785099346576202,23.880074012481586,1.64273,29.99375143655724,1.6395799,45.07422922361005
002606.61+234406.9,6.527557709154223,23.735257113547462,1.99387,30.53282686093398,1.991645,45.63958930565166
002536.63+234603.1,6.402625856954501,23.7675316974416,1.68369,30.973621182904004,1.68,46.04458953002659
002210.51+233013.2,5.543798015922334,23.50367097777868,1.99414,30.516598741677775,1.9919974999999999,45.36040546413333
002143.70+232821.7,5.432116899937,23.47269565128307,1.77264,30.319418813673238,1.7733067,45.31336929582566
002229.55+230932.3,5.62315634274546,23.158972324078132,1.74414,30.4313222107912,1.7454026999999999,45.408017458082035
002054.61+240114.4,5.22755043522136,24.020685245869988,2.56625,30.803778392243736,2.5531043999999996,45.722788094616654
002213.46+243645.0,5.556121320655848,24.612503471405567,1.9213,30.42624586832838,1.9206702000000002,45.34835696877753
002322.56+240921.6,5.844015217173477,24.156009605046677,2.30933,30.547100753926486,2.303,45.48472596834713
002420.47+241803.1,6.085299100323367,24.300883604808305,1.90068,31.058283757280442,1.8961112,46.05588944206144
002428.81+242107.9,6.120051675762513,24.35220774693985,1.91089,30.65707613419783,1.9152898999999997,45.657700554894724
002530.54+244443.4,6.377254775238441,24.745410698116878,1.55136,30.14963213368374,1.550823,45.269505120031
002607.65+244408.5,6.5318825543411085,24.73570609940389,1.59289,30.832894287190413,1.5945586,45.78279265261123
00272.754+243413.1,6.761474989687088,24.570319146592137,1.78344,30.490007006178473,1.783406,45.457416117728556
002704.29+245149.3,6.767903045601032,24.863694706272724,1.55246,30.341461762477834,1.5524003999999998,45.33990609810954
002714.83+244455.2,6.811831267280581,24.748672752602296,1.87404,30.403510034558266,1.8712453999999998,45.40963258319948
002745.51+253431.3,6.939660947281027,25.575380857509785,1.94677,30.435267873513915,1.9466558,45.586941090634575
002845.57+243549.7,7.189898537241106,24.597163786860442,2.20411,31.09107584707766,2.19711,46.247736828387886
002826.65+245853.9,7.111059065298946,24.98164889432945,2.42147,30.526371180518765,2.418,45.604968995991534
002912.76+243343.4,7.303181556568803,24.56205705770121,2.61217,30.54672065755144,2.611199,45.64887546732474
