object_name,spec_name,redshift,CIV_blueshift,CIV_EW,f2500,components_used,manual_masking_applied,forced_components
3C 84_FOS,3C 84_FOS,0.0175,4038.4645171283414,18.421410153782602,-0.3567158372797402,,False,False
3C 95_FOS,3C 95_FOS,0.616,-78.78126855460229,23.558788401401678,0.4765012500983431,,False,False
3C110_FOS,3C110_FOS,0.7744,-562.8339830136417,58.34464992515892,0.5010770867225092,,False,False
3C186_FOS,3C186_FOS,1.0683583600565545,1231.1678756744097,38.535767876477856,0.5519146902995247,,False,False
3C207_FOS,3C207_FOS,0.6797683519885304,-78.78126855460229,46.791797847120506,0.6855138910303944,,False,False
3C215_FOS,3C215_FOS,0.4113,-9.680667062489581,152.41054150107814,0.8241636566851798,,False,False
3C216-0_FOS,3C216-0_FOS,0.6699145822454888,611.3922089991388,1.7062455987520928,0.5105247822632764,,False,False
3C254_FOS,3C254_FOS,0.7348010249544691,-978.3669360043486,138.07600363696187,0.8015672025948043,,False,False
3C281_FOS,3C281_FOS,0.6017533501626714,404.4969925394556,75.86273566104504,0.5145424079490386,,False,False
3C334.0_FOS,3C334.0_FOS,0.5557573210067811,266.5087642305957,63.127035124774395,0.7264322409745133,,False,False
3C336.0_FOS,3C336.0_FOS,0.9266396761050272,-217.00183287294783,107.46529208634482,0.46262821488603123,,False,False
3C345_FOS,3C345_FOS,0.593116942918676,-217.00183287294783,40.44457708025158,0.8227093094495324,,False,False
3C351_FOS,3C351_FOS,0.3719797196745716,-217.00183287294783,19.572956508676974,0.5605496561362173,,False,False
3C390.3_FOS,3C390.3_FOS,0.0555,611.3922089991388,209.622865898744,0.7179973418815949,,False,False
3XMM J141724.5+523025_STIS,3XMM J141724.5+523025_STIS,0.4820421700226696,59.38121176138286,42.43899798529768,0.5311921451956922,,False,False
4C 00.34_STIS,4C 00.34_STIS,0.905131257489342,59.38121176138286,133.58790346105835,0.45831351791378994,,False,False
4C 11.72_FOS,4C 11.72_FOS,0.3256,266.5087642305957,54.689383602159495,0.8451123598419588,,False,False
4C 13.41_COS,4C 13.41_COS,0.2404609320966504,-2089.26220409427,5.210178166928702,0.5426006516985291,,False,False
4C 13.41_STIS,4C 13.41_STIS,0.2404609320966504,1643.661099207463,4.209660324098342,0.6420298268544824,,False,False
4C29.45_FOS,4C29.45_FOS,0.7246915169254025,1093.5475127139648,0.6558095097638952,0.6267872502949818,,False,False
4C41.21_FOS,4C41.21_FOS,0.6125954166688069,128.44309058521125,78.78742632619172,0.4952091831098974,,False,False
4C55-17_FOS,4C55-17_FOS,0.8994548748714215,-1602.7312388672367,21.11238203414609,0.4826697764613467,,False,False
4C61.20_FOS,4C61.20_FOS,0.4211027940391447,-424.45852802229103,42.31406873965006,0.4771087565920473,,False,False
4C73-18_FOS,4C73-18_FOS,0.3021,59.38121176138286,65.85446136369235,0.5927230199762541,,False,False
6C 134441+623604_COS,6C 134441+623604_COS,0.1164308027393893,6278.803211399941,70.34953319951343,3.991818174166395,,False,False
6C 134441+623604_STIS,6C 134441+623604_STIS,0.1164308027393893,-5165.390969873742,12.566231758479503,2.0926246636983703,,False,False
7C 1555+3313_FOS,7C 1555+3313_FOS,0.9410762926407744,-424.45852802229103,102.31264884224274,0.45231385134385477,,False,False
7C 163119.39+393037.00_FOS,7C 163119.39+393037.00_FOS,1.0241461463636192,-909.0727211709907,10.633352000276629,0.46014298600763076,,False,False
